Product_Name,Department_Name,number_of_products_sold
Titleist Pro V1x Golf Balls,Outdoors,291
Glove It Imperial Golf Towel,Outdoors,302
Polar FT4 Heart Rate Monitor,Outdoors,60
Glove It Urban Brick Golf Towel,Outdoors,300
Hirzl Men's Hybrid Golf Glove,Outdoors,282
LIJA Women's Argyle Golf Polo,Outdoors,66
LIJA Women's Button Golf Dress,Outdoors,76
Titleist Club Glove Travel Cover,Outdoors,34
Garmin Approach S3 Golf GPS Watch,Outdoors,77
Garmin Approach S4 Golf GPS Watch,Outdoors,36
Garmin Forerunner 910XT GPS Watch,Outdoors,35
Hirzl Women's Hybrid Golf Glove,Outdoors,311
MDGolf Pittsburgh Penguins Putter,Outdoors,53
TaylorMade 2014 Purelite Stand Bag,Outdoors,65
TaylorMade Women's RBZ SL Rescue,Outdoors,68
Top Flite Women's 2014 XL Hybrid,Outdoors,303
TaylorMade White Smoke IN-12 Putter,Outdoors,63
Titleist Small Wheeled Travel Cover,Outdoors,54
Team Golf Texas Longhorns Putter Grip,Outdoors,299
Bushnell Pro X7 Jolt Slope Rangefinder,Outdoors,11
Glove It Women's Imperial Golf Glove,Outdoors,307
Glove It Women's Mod Oval Golf Glove,Outdoors,277
Hirzl Women's Soffft Flex Golf Glove,Outdoors,298
Titleist Pro V1x High Numbers Golf Balls,Outdoors,265
Team Golf Pittsburgh Steelers Putter Grip,Outdoors,295
Team Golf St. Louis Cardinals Putter Grip,Outdoors,313
LIJA Women's Eyelet Sleeveless Golf Polo,Outdoors,309
Mio ALPHA Heart Rate Monitor/Sport Watch,Outdoors,67
Team Golf New England Patriots Putter Grip,Outdoors,281
Team Golf San Francisco Giants Putter Grip,Outdoors,292
Team Golf Tennessee Volunteers Putter Grip,Outdoors,300
LIJA Women's Mid-Length Panel Golf Shorts,Outdoors,73
Merrell Women's Grassbow Sport Hiking Shoe,Outdoors,70
Merrell Men's All Out Flash Trail Running Sho,Outdoors,85
Fitbit The One Wireless Activity & Sleep Trac,Outdoors,62
Merrell Women's Siren Mid Waterproof Hiking B,Outdoors,70
Glove It Women's Mod Oval 3-Zip Carry All Gol,Outdoors,295
Titleist Pro V1 High Numbers Personalized Gol,Outdoors,292
Titleist Pro V1x High Numbers Personalized Go,Outdoors,306
Cleveland Golf Women's 588 RTX CB Satin Chrom,Outdoors,70
Merrell Women's Grassbow Sport Waterproof Hik,Outdoors,58
Bridgestone e6 Straight Distance NFL San Dieg,Outdoors,310
Cleveland Golf Collegiate My Custom Wedge 588,Outdoors,65
Bridgestone e6 Straight Distance NFL Tennesse,Outdoors,257
Bridgestone e6 Straight Distance NFL Carolina,Outdoors,308
Adult dog supplies,Pet Shop,492
Web Camera,Technology,592
Dell Laptop,Technology,442
Industrial consumer electronics,Technology,431
