Product_Name,Department_Name,Average_Discount
Team Golf St. Louis Cardinals Putter Grip,Outdoors,0.096389776824281112
Merrell Women's Grassbow Sport Hiking Shoe,Outdoors,0.096000000657142856
Nike Kids' Grade School KD VI Basketball Shoe,Fitness,0.095714286650793665
Under Armour Women's Ignite PIP VI Slide,Footwear,0.095438596722807023
GoPro HERO3+ Black Edition Camera,Footwear,0.0937500006875
Ogio Race Golf Shoes,Outdoors,0.09344262336065573
Nike Men's Fingertrap Max Training Shoe,Fitness,0.093125000468749969
Diamondback Girls' Clarity 24 Hybrid Bike 201,Fitness,0.092500000428571455
Garmin Approach S4 Golf GPS Watch,Outdoors,0.091944444333333333
Merrell Women's Grassbow Sport Waterproof Hik,Outdoors,0.0903448276551724
Stiga Master Series ST3100 Competition Indoor,Fitness,0.085185185629629651
Bushnell Pro X7 Jolt Slope Rangefinder,Outdoors,0.081818182090909075
Polar FT4 Heart Rate Monitor,Outdoors,0.077166666866666692
SOLE E25 Elliptical,Fitness,0.059
